"HolderAddress","Balance","PendingBalanceUpdate"
"0xbd12ebb77ef167a5ff93b7e572b33f2526ae3fd0","1.96207537087726E+22","No"
"0x7b2e78d4dfaaba045a167a70da285e30e8fca196","59179422652695","No"
"0x565eba8b4146b6d71ccb2aa9bef2bd14df8063e4","1.00642152502185E+21","No"
"0xe34e2df841e5a6352b0ae8bd5a797544f11d7e89","9.56531867368211E+18","No"
"0x2738358bddf448ec977666f202d9124a141db510","8.58997855866897E+17","No"
"0x745c1e2417455814c9359366d281b4a650a6ac61","587198323543254","No"
"0x6f400810b62df8e13fded51be75ff5393eaa841f","1.54566307014021E+20","No"
"0x5bdc20c8d3b00268c1cb0d1ae404956b6feef19a","1.35601073430191E+19","No"
"0xc4d9d1a93068d311ab18e988244123430eb4f1cd","8.55429867519156E+15","No"
"0x3c1863dedc30f8650e63e5c4b5400ba80e19b8ac","2.85476690457904E+17","No"
"0xbc90b3ce40fc3ed921d910f3e046c65954fff7cb","59509","No"
"0x4c39ada0340c1eb3cee343f44819323dd29081a9","2.47362853049075E+16","No"
"0x3cc8b45bdda056f222b790fc089db0cfdefc61a6","6.56112037132245E+20","No"
"0x2bb82542a014f9df9310d6dd167a77581867c5cc","6.72386189553077E+16","No"
"0xc5ccfe9a0c45f73475e747b30d816af6c6ad1970","2.01661122052893E+18","No"
"0x519b70055af55a007110b4ff99b0ea33071c720a","1.0491217799013E+23","No"
"0xe7c6459fb1b5c02cc454e48291d716799fe01aa2","308332441157450","No"
"0x83549fb310195ea27e099ad484693c7f04126391","344","No"
"0x7f8919fde017c5ff8408e4def990bc81f20d3ca4","1.62284966028664E+19","No"
"0x3e7dd7df9c1ffd12b8ecd94a27472bdc4d87ab7e","4.63394475003873E+17","No"
"0x441428454b614d2bb2782165ef1cee53da79dd93","9005997755838","No"
"0xcf050ea6628097bd5ad5df54a7b1e433f4b6b604","2","No"
"0x35d44c5b15b43d532068e0bd65ddd1b686aa3ad4","24610859230368","No"
"0x22f5c5e66df3743d99b10d308d112de4cf9928d7","1","No"
"0x1511a017eafaccbd2eaffa2905d2f0b5843e0c57","1.58341054375928E+18","No"
"0xffa55f72064c6c86e0c69753095c4be0d43a5314","2.42712598875759E+15","No"
"0x89abec4ef6e8007830f631df785ab2fa85c24ddd","2016647534","No"
"0x03595d65063f8c13ed0e32c3afad77200f7a544b","60710030629273","No"
"0x67873142aba4c82749c475b38ea2b78bda9b0dd1","1","No"
"0x493ac4b608ef1ed6720daea14b7a19cbc449bcc6","8.39914849755168E+15","No"
"0xcb2d503002f636f2908ce98373dac9d61e50fe07","40217977124267","No"
